y,qy,ly,Dy,Ny,Sy
0,0.005088,1000000.000000,1000000.000000,40064225.706000,1223991753.930000
1,0.000387,994912.000000,975403.922000,39064225.706000,1183927528.223000
2,0.000318,994527.000000,955908.275000,38088821.785000,1144863302.517000
3,0.000255,994211.000000,936866.957000,37132913.510000,1106774480.733000
4,0.000202,993957.000000,918262.800000,36196046.553000,1069641567.223000
5,0.000163,993756.000000,900075.795000,35277783.753000,1033445520.670000
6,0.000134,993594.000000,882283.414000,34377707.959000,998167736.917000
7,0.000115,993461.000000,864867.831000,33495424.544000,963790028.958000
8,0.000105,993347.000000,847812.129000,32630556.713000,930294604.414000
9,0.000099,993243.000000,831101.087000,31782744.584000,897664047.701000
10,0.000102,993144.000000,814724.322000,30951643.497000,865881303.117000
11,0.000111,993043.000000,798667.863000,30136919.175000,834929659.620000
12,0.000127,992933.000000,782920.795000,29338251.313000,804792740.445000
13,0.000153,992807.000000,767471.925000,28555330.518000,775454489.133000
14,0.000188,992655.000000,752308.335000,27787858.593000,746899158.615000
15,0.000228,992468.000000,737418.531000,27035550.258000,719111300.022000
16,0.000271,992242.000000,722794.509000,26298131.727000,692075749.764000
17,0.000310,991973.000000,708430.031000,25575337.218000,665777618.037000
18,0.000324,991666.000000,694323.939000,24866907.187000,640202280.818000
19,0.000330,991344.000000,680489.194000,24172583.248000,615335373.631000
20,0.000328,991017.000000,666926.110000,23492094.054000,591162790.383000
21,0.000322,990692.000000,653634.665000,22825167.944000,567670696.329000
22,0.000314,990373.000000,640611.956000,22171533.278000,544845528.385000
23,0.000304,990062.000000,627853.729000,21530921.322000,522673995.107000
24,0.000297,989761.000000,615355.747000,20903067.593000,501143073.784000
25,0.000293,989467.000000,603110.771000,20287711.847000,480240006.191000
26,0.000292,989177.000000,591111.823000,19684601.076000,459952294.345000
27,0.000292,988888.000000,579352.175000,19093489.253000,440267693.269000
28,0.000296,988600.000000,567826.474000,18514137.079000,421174204.016000
29,0.000302,988307.000000,556527.841000,17946310.604000,402660066.937000
30,0.000311,988009.000000,545450.754000,17389782.763000,384713756.333000
31,0.000327,987701.000000,534589.332000,16844332.009000,367323973.569000
32,0.000351,987378.000000,523935.806000,16309742.677000,350479641.560000
33,0.000386,987032.000000,513482.259000,15785806.871000,334169898.883000
34,0.000433,986651.000000,503219.662000,15272324.612000,318384092.012000
35,0.000490,986224.000000,493138.988000,14769104.950000,303111767.400000
36,0.000555,985740.000000,483232.696000,14275965.963000,288342662.450000
37,0.000624,985193.000000,473494.609000,13792733.267000,274066696.487000
38,0.000701,984578.000000,463920.734000,13319238.657000,260273963.220000
39,0.000783,983888.000000,454505.417000,12855317.923000,246954724.563000
40,0.000872,983118.000000,445244.647000,12400812.506000,234099406.640000
41,0.000972,982261.000000,436133.719000,11955567.859000,221698594.133000
42,0.001084,981306.000000,427166.468000,11519434.141000,209743026.274000
43,0.001213,980242.000000,418336.685000,11092267.673000,198223592.133000
44,0.001359,979053.000000,409636.513000,10673930.988000,187131324.461000
45,0.001524,977723.000000,401058.644000,10264294.475000,176457393.473000
46,0.001706,976232.000000,392595.520000,9863235.831000,166193098.998000
47,0.001903,974567.000000,384240.933000,9470640.311000,156329863.167000
48,0.002109,972712.000000,375989.924000,9086399.377000,146859222.857000
49,0.002324,970661.000000,367840.159000,8710409.453000,137772823.479000
50,0.002546,968405.000000,359789.508000,8342569.294000,129062414.027000
51,0.002782,965940.000000,351836.749000,7982779.786000,120719844.732000
52,0.003035,963252.000000,343978.372000,7630943.037000,112737064.946000
53,0.003306,960329.000000,336210.193000,7286964.666000,105106121.909000
54,0.003593,957154.000000,328528.120000,6950754.473000,97819157.243000
55,0.003898,953715.000000,320929.136000,6622226.353000,90868402.770000
56,0.004228,949997.000000,313409.955000,6301297.217000,84246176.418000
57,0.004585,945981.000000,305965.547000,5987887.262000,77944879.201000
58,0.004974,941643.000000,298590.877000,5681921.715000,71956991.939000
59,0.005402,936960.000000,291280.084000,5383330.838000,66275070.224000
60,0.005884,931898.000000,284026.068000,5092050.754000,60891739.386000
61,0.006449,926415.000000,276818.489000,4808024.686000,55799688.632000
62,0.007126,920441.000000,269640.477000,4531206.197000,50991663.946000
63,0.007935,913881.000000,262469.626000,4261565.720000,46460457.749000
64,0.008898,906630.000000,255281.304000,3999096.094000,42198892.029000
65,0.010025,898563.000000,248048.834000,3743814.790000,38199795.936000
66,0.011323,889555.000000,240747.200000,3495765.956000,34455981.146000
67,0.012797,879482.000000,233354.137000,3255018.755000,30960215.190000
68,0.014460,868227.000000,225850.887000,3021664.618000,27705196.435000
69,0.016332,855673.000000,218220.669000,2795813.732000,24683531.817000
70,0.018440,841698.000000,210447.735000,2577593.062000,21887718.085000
71,0.020813,826177.000000,202516.744000,2367145.328000,19310125.023000
72,0.023475,808982.000000,194413.493000,2164628.584000,16942979.696000
73,0.027035,789991.000000,186127.094000,1970215.091000,14778351.112000
74,0.030413,768634.000000,177544.263000,1784087.997000,12808136.021000
75,0.034287,745257.000000,168769.225000,1606543.734000,11024048.023000
76,0.038749,719704.000000,159786.896000,1437774.509000,9417504.289000
77,0.043937,691817.000000,150583.641000,1277987.613000,7979729.780000
78,0.049993,661420.000000,141144.557000,1127403.972000,6701742.167000
79,0.057024,628354.000000,131459.134000,986259.415000,5574338.195000
80,0.065113,592523.000000,121532.165000,854800.281000,4588078.779000
81,0.074288,553942.000000,111391.021000,733268.116000,3733278.498000
82,0.084590,512791.000000,101094.122000,621877.096000,3000010.381000
83,0.096095,469414.000000,90728.010000,520782.973000,2378133.286000
84,0.109028,424305.000000,80401.473000,430054.963000,1857350.312000
85,0.123611,378044.000000,70230.844000,349653.491000,1427295.349000
86,0.140022,331314.000000,60342.685000,279422.647000,1077641.859000
87,0.158257,284922.000000,50875.865000,219079.961000,798219.212000
88,0.178185,239832.000000,41984.709000,168204.097000,579139.251000
89,0.199669,197097.000000,33827.121000,126219.388000,410935.155000
90,0.222504,157743.000000,26542.053000,92392.267000,284715.767000
91,0.246453,122645.000000,20231.706000,65850.214000,192323.500000
92,0.271195,92418.000000,14946.609000,45618.509000,126473.286000
93,0.295584,67355.000000,10679.572000,30671.900000,80854.777000
94,0.319362,47446.000000,7375.354000,19992.328000,50182.877000
95,0.343441,32294.000000,4921.516000,12616.974000,30190.549000
96,0.367818,21203.000000,3167.907000,7695.458000,17573.575000
97,0.392493,13404.000000,1963.426000,4527.550000,9878.117000
98,0.417460,8143.000000,1169.407000,2564.125000,5350.567000
99,0.442716,4744.000000,667.869000,1394.718000,2786.442000
100,0.468258,2644.000000,364.895000,726.849000,1391.724000
101,0.494075,1406.000000,190.225000,361.955000,664.874000
102,0.520164,711.000000,94.353000,171.729000,302.920000
103,0.546514,341.000000,44.386000,77.377000,131.190000
104,0.573114,155.000000,19.734000,32.991000,53.814000
105,0.599953,66.000000,8.259000,13.257000,20.823000
106,0.627014,26.000000,3.239000,4.998000,7.566000
107,0.654283,10.000000,1.184000,1.759000,2.568000
108,0.681741,3.000000,0.401000,0.574000,0.810000
109,0.709364,1.000000,0.125000,0.173000,0.235000
110,0.737130,0.000000,0.036000,0.048000,0.063000
111,0.765011,0.000000,0.009000,0.012000,0.015000
112,0.792974,0.000000,0.002000,0.003000,0.003000
113,0.820987,0.000000,0.000000,0.001000,0.001000
114,0.849009,0.000000,0.000000,0.000000,0.000000
115,0.876998,0.000000,0.000000,0.000000,0.000000
116,0.904905,0.000000,0.000000,0.000000,0.000000
117,0.932675,0.000000,0.000000,0.000000,0.000000
118,0.960249,0.000000,0.000000,0.000000,0.000000
119,0.987564,0.000000,0.000000,0.000000,0.000000
120,1.000000,0.000000,0.000000,0.000000,0.000000
121,1.000000,0.000000,0.000000,0.000000,0.000000
