x,qx,lx,Dx,Nx,Sx
0,0.006113,1000000.000000,1000000.000000,38854794.490000,1139528771.292000
1,0.000423,993887.000000,974399.020000,37854794.492000,1100673976.800000
2,0.000343,993467.000000,954889.067000,36880395.473000,1062819182.308000
3,0.000275,993126.000000,935844.648000,35925506.405000,1025938786.835000
4,0.000220,992853.000000,917242.441000,34989661.758000,990013280.430000
5,0.000182,992634.000000,899059.459000,34072419.316000,955023618.673000
6,0.000155,992454.000000,881270.422000,33173359.857000,920951199.357000
7,0.000139,992300.000000,863856.691000,32292089.435000,887777839.499000
8,0.000129,992162.000000,846800.603000,31428232.745000,855485750.064000
9,0.000125,992034.000000,830089.574000,30581432.142000,824057517.319000
10,0.000129,991910.000000,813711.581000,29751342.568000,793476085.178000
11,0.000143,991782.000000,797653.542000,28937630.986000,763724742.610000
12,0.000173,991640.000000,781901.448000,28139977.445000,734787111.624000
13,0.000222,991469.000000,766437.431000,27358075.997000,706647134.179000
14,0.000303,991248.000000,751242.433000,26591638.566000,679289058.182000
15,0.000417,990948.000000,736289.026000,25840396.133000,652697419.617000
16,0.000557,990535.000000,721550.974000,25104107.107000,626857023.483000
17,0.000709,989983.000000,707008.892000,24382556.133000,601752916.376000
18,0.000850,989281.000000,692654.532000,23675547.241000,577370360.243000
19,0.000953,988440.000000,678495.859000,22982892.709000,553694813.002000
20,0.001012,987498.000000,664558.090000,22304396.850000,530711920.293000
21,0.001022,986499.000000,650868.194000,21639838.760000,508407523.443000
22,0.001004,985491.000000,637453.928000,20988970.566000,486767684.683000
23,0.000963,984501.000000,624327.377000,20351516.638000,465778714.116000
24,0.000911,983553.000000,611496.225000,19727189.262000,445427197.478000
25,0.000856,982657.000000,598959.953000,19115693.037000,425700008.216000
26,0.000808,981816.000000,586712.983000,18516733.085000,406584315.179000
27,0.000772,981023.000000,574744.038000,17930020.101000,388067582.094000
28,0.000752,980265.000000,563039.545000,17355276.063000,370137561.993000
29,0.000745,979528.000000,551584.450000,16792236.518000,352782285.930000
30,0.000752,978799.000000,540366.196000,16240652.067000,335990049.413000
31,0.000768,978063.000000,529372.393000,15700285.871000,319749397.345000
32,0.000791,977311.000000,518593.956000,15170913.478000,304049111.474000
33,0.000820,976538.000000,508023.282000,14652319.523000,288878197.995000
34,0.000855,975738.000000,497653.631000,14144296.241000,274225878.473000
35,0.000895,974903.000000,487478.565000,13646642.610000,260081582.232000
36,0.000945,974031.000000,477492.424000,13159164.045000,246434939.622000
37,0.001005,973110.000000,467687.444000,12681671.621000,233275775.577000
38,0.001083,972132.000000,458056.293000,12213984.177000,220594103.956000
39,0.001181,971079.000000,448588.449000,11755927.884000,208380119.779000
40,0.001301,969933.000000,439273.202000,11307339.435000,196624191.895000
41,0.001447,968671.000000,430099.713000,10868066.234000,185316852.460000
42,0.001623,967269.000000,421056.234000,10437966.521000,174448786.226000
43,0.001833,965699.000000,412130.255000,10016910.287000,164010819.705000
44,0.002082,963929.000000,403308.647000,9604780.032000,153993909.418000
45,0.002364,961922.000000,394577.410000,9201471.385000,144389129.386000
46,0.002669,959648.000000,385926.107000,8806893.975000,135187658.001000
47,0.002983,957087.000000,377349.088000,8420967.868000,126380764.026000
48,0.003302,954232.000000,368846.526000,8043618.780000,117959796.158000
49,0.003630,951081.000000,360420.191000,7674772.254000,109916177.379000
50,0.003981,947629.000000,352070.456000,7314352.063000,102241405.125000
51,0.004371,943856.000000,343793.004000,6962281.607000,94927053.061000
52,0.004812,939731.000000,335578.710000,6618488.604000,87964771.454000
53,0.005308,935209.000000,327415.594000,6282909.893000,81346282.851000
54,0.005857,930244.000000,319291.835000,5955494.300000,75063372.957000
55,0.006460,924796.000000,311197.787000,5636202.465000,69107878.658000
56,0.007117,918822.000000,303124.950000,5325004.678000,63471676.193000
57,0.007831,912283.000000,295066.284000,5021879.728000,58146671.515000
58,0.008604,905138.000000,287015.314000,4726813.444000,53124791.787000
59,0.009454,897351.000000,278966.504000,4439798.130000,48397978.344000
60,0.010404,888867.000000,270910.936000,4160831.626000,43958180.214000
61,0.011504,879619.000000,262835.665000,3889920.690000,39797348.588000
62,0.012818,869500.000000,254717.651000,3627085.024000,35907427.898000
63,0.014429,858355.000000,246522.235000,3372367.374000,32280342.874000
64,0.016415,845970.000000,238201.143000,3125845.138000,28907975.501000
65,0.018832,832083.000000,229697.129000,2887643.995000,25782130.362000
66,0.021704,816413.000000,220952.424000,2657946.867000,22894486.367000
67,0.025016,798694.000000,211918.502000,2436994.443000,20236539.500000
68,0.028738,778714.000000,202565.833000,2225075.940000,17799545.058000
69,0.032822,756335.000000,192886.760000,2022510.108000,15574469.117000
70,0.037219,731511.000000,182897.874000,1829623.347000,13551959.010000
71,0.041880,704285.000000,172637.841000,1646725.474000,11722335.662000
72,0.046597,674789.000000,162164.479000,1474087.633000,10075610.189000
73,0.051181,643346.000000,151576.569000,1311923.154000,8601522.556000
74,0.056110,610419.000000,140998.754000,1160346.585000,7289599.402000
75,0.061477,576168.000000,130477.758000,1019347.832000,6129252.817000
76,0.067433,540747.000000,120055.272000,888870.073000,5109904.986000
77,0.074160,504283.000000,109764.299000,768814.801000,4221034.912000
78,0.081806,466885.000000,99631.547000,659050.503000,3452220.111000
79,0.090478,428691.000000,89687.342000,559418.956000,2793169.608000
80,0.100261,389904.000000,79973.148000,469731.613000,2233750.652000
81,0.111193,350812.000000,70544.078000,389758.466000,1764019.039000
82,0.123283,311804.000000,61470.658000,319214.387000,1374260.573000
83,0.136498,273364.000000,52835.657000,257743.730000,1055046.186000
84,0.150887,236050.000000,44729.114000,204908.072000,797302.456000
85,0.166500,200433.000000,37235.364000,160178.959000,592394.384000
86,0.183344,167061.000000,30427.134000,122943.594000,432215.425000
87,0.201323,136432.000000,24361.276000,92516.461000,309271.831000
88,0.220284,108965.000000,19075.285000,68155.185000,216755.370000
89,0.240073,84962.000000,14581.671000,49079.900000,148600.185000
90,0.260556,64565.000000,10863.731000,34498.229000,99520.285000
91,0.281602,47742.000000,7875.609000,23634.497000,65022.057000
92,0.303079,34298.000000,5546.884000,15758.889000,41387.560000
93,0.324872,23903.000000,3789.941000,10212.005000,25628.671000
94,0.346887,16137.000000,2508.525000,6422.064000,15416.666000
95,0.369051,10540.000000,1606.226000,3913.539000,8994.602000
96,0.391305,6650.000000,993.575000,2307.313000,5081.063000
97,0.413938,4048.000000,592.926000,1313.738000,2773.750000
98,0.437313,2372.000000,340.678000,720.813000,1460.011000
99,0.461101,1335.000000,187.936000,380.135000,739.198000
100,0.485304,719.000000,99.293000,192.199000,359.063000
101,0.509924,370.000000,50.104000,92.906000,166.864000
102,0.534957,181.000000,24.073000,42.803000,73.958000
103,0.560407,84.000000,10.976000,18.730000,31.155000
104,0.586265,37.000000,4.730000,7.754000,12.425000
105,0.612529,15.000000,1.919000,3.024000,4.671000
106,0.639188,6.000000,0.729000,1.105000,1.647000
107,0.666233,2.000000,0.258000,0.377000,0.542000
108,0.693651,1.000000,0.084000,0.119000,0.165000
109,0.721425,0.000000,0.025000,0.034000,0.046000
110,0.749533,0.000000,0.007000,0.009000,0.012000
111,0.777950,0.000000,0.002000,0.002000,0.003000
112,0.806647,0.000000,0.000000,0.000000,0.001000
113,0.835585,0.000000,0.000000,0.000000,0.000000
114,0.864722,0.000000,0.000000,0.000000,0.000000
115,0.894008,0.000000,0.000000,0.000000,0.000000
116,0.923382,0.000000,0.000000,0.000000,0.000000
117,0.952778,0.000000,0.000000,0.000000,0.000000
118,0.982113,0.000000,0.000000,0.000000,0.000000
119,1.000000,0.000000,0.000000,0.000000,0.000000
120,1.000000,0.000000,0.000000,0.000000,0.000000
121,1.000000,0.000000,0.000000,0.000000,0.000000
